a,b,c,ballots,percentage
,,ANGELA ALIOTO,32,0.013
MARK LENO,,JANE KIM,32,0.013
AMY FARAH WEISS,ANGELA ALIOTO,JANE KIM,31,0.012
RICHIE GREENBERG,MICHELLE BRAVO,MARK LENO,31,0.012
ELLEN LEE ZHOU,AMY FARAH WEISS,LONDON BREED,30,0.012
ANGELA ALIOTO,AMY FARAH WEISS,,30,0.012
LONDON BREED,ELLEN LEE ZHOU,LONDON BREED,30,0.012
MICHELLE BRAVO,ANGELA ALIOTO,ELLEN LEE ZHOU,30,0.012
,,MARK LENO,29,0.011
RICHIE GREENBERG,JANE KIM,ELLEN LEE ZHOU,29,0.011
AMY FARAH WEISS,ANGELA ALIOTO,LONDON BREED,29,0.011
ANGELA ALIOTO,MICHELLE BRAVO,,29,0.011
AMY FARAH WEISS,LONDON BREED,ANGELA ALIOTO,28,0.011
ELLEN LEE ZHOU,MICHELLE BRAVO,LONDON BREED,28,0.011
JANE KIM,,MARK LENO,28,0.011
AMY FARAH WEISS,ELLEN LEE ZHOU,MICHELLE BRAVO,28,0.011
RICHIE GREENBERG,MICHELLE BRAVO,ANGELA ALIOTO,28,0.011
AMY FARAH WEISS,ANGELA ALIOTO,MARK LENO,27,0.011
AMY FARAH WEISS,MARK LENO,ANGELA ALIOTO,27,0.011
,ELLEN LEE ZHOU,,27,0.011
MICHELLE BRAVO,LONDON BREED,ANGELA ALIOTO,27,0.011
MICHELLE BRAVO,ELLEN LEE ZHOU,AMY FARAH WEISS,27,0.011
MICHELLE BRAVO,MARK LENO,JANE KIM,27,0.011
RICHIE GREENBERG,ANGELA ALIOTO,RICHIE GREENBERG,27,0.011
ELLEN LEE ZHOU,LONDON BREED,LONDON BREED,27,0.011
ELLEN LEE ZHOU,ELLEN LEE ZHOU,LONDON BREED,27,0.011
RICHIE GREENBERG,JANE KIM,AMY FARAH WEISS,27,0.011
MICHELLE BRAVO,ANGELA ALIOTO,LONDON BREED,26,0.01
ELLEN LEE ZHOU,JANE KIM,ELLEN LEE ZHOU,26,0.01
ELLEN LEE ZHOU,AMY FARAH WEISS,MARK LENO,26,0.01
MICHELLE BRAVO,ELLEN LEE ZHOU,ANGELA ALIOTO,25,0.01
MICHELLE BRAVO,ANGELA ALIOTO,JANE KIM,25,0.01
ANGELA ALIOTO,ANGELA ALIOTO,JANE KIM,25,0.01
,JANE KIM,LONDON BREED,24,0.009
AMY FARAH WEISS,ELLEN LEE ZHOU,ANGELA ALIOTO,24,0.009
RICHIE GREENBERG,ANGELA ALIOTO,ANGELA ALIOTO,24,0.009
ANGELA ALIOTO,ANGELA ALIOTO,RICHIE GREENBERG,23,0.009
AMY FARAH WEISS,RICHIE GREENBERG,ELLEN LEE ZHOU,23,0.009
JANE KIM,,LONDON BREED,22,0.009
MICHELLE BRAVO,JANE KIM,MARK LENO,22,0.009
,JANE KIM,ANGELA ALIOTO,21,0.008
,,JANE KIM,21,0.008
ELLEN LEE ZHOU,AMY FARAH WEISS,JANE KIM,21,0.008
MICHELLE BRAVO,LONDON BREED,JANE KIM,21,0.008
AMY FARAH WEISS,MICHELLE BRAVO,ELLEN LEE ZHOU,21,0.008
,LONDON BREED,LONDON BREED,21,0.008
LONDON BREED,,ELLEN LEE ZHOU,21,0.008
AMY FARAH WEISS,ANGELA ALIOTO,MICHELLE BRAVO,20,0.008
AMY FARAH WEISS,JANE KIM,,20,0.008
RICHIE GREENBERG,AMY FARAH WEISS,,20,0.008
ELLEN LEE ZHOU,MICHELLE BRAVO,RICHIE GREENBERG,20,0.008
JANE KIM,MICHELLE BRAVO,RICHIE GREENBERG,20,0.008
MARK LENO,,ANGELA ALIOTO,20,0.008
ANGELA ALIOTO,JANE KIM,JANE KIM,20,0.008
MICHELLE BRAVO,MARK LENO,LONDON BREED,20,0.008
JANE KIM,ANGELA ALIOTO,ANGELA ALIOTO,20,0.008
AMY FARAH WEISS,JANE KIM,ELLEN LEE ZHOU,20,0.008
AMY FARAH WEISS,MARK LENO,,19,0.007
RICHIE GREENBERG,MICHELLE BRAVO,JANE KIM,19,0.007
AMY FARAH WEISS,MARK LENO,RICHIE GREENBERG,19,0.007
RICHIE GREENBERG,RICHIE GREENBERG,ANGELA ALIOTO,19,0.007
RICHIE GREENBERG,RICHIE GREENBERG,LONDON BREED,19,0.007
MICHELLE BRAVO,ANGELA ALIOTO,AMY FARAH WEISS,19,0.007
MICHELLE BRAVO,ANGELA ALIOTO,RICHIE GREENBERG,19,0.007
MICHELLE BRAVO,MARK LENO,RICHIE GREENBERG,18,0.007
ELLEN LEE ZHOU,MICHELLE BRAVO,JANE KIM,18,0.007
JANE KIM,JANE KIM,ELLEN LEE ZHOU,18,0.007
JANE KIM,AMY FARAH WEISS,RICHIE GREENBERG,18,0.007
MICHELLE BRAVO,RICHIE GREENBERG,ANGELA ALIOTO,18,0.007
MICHELLE BRAVO,JANE KIM,ANGELA ALIOTO,18,0.007
LONDON BREED,LONDON BREED,MICHELLE BRAVO,18,0.007
MICHELLE BRAVO,MARK LENO,ANGELA ALIOTO,18,0.007
MARK LENO,ELLEN LEE ZHOU,ELLEN LEE ZHOU,18,0.007
AMY FARAH WEISS,RICHIE GREENBERG,MARK LENO,18,0.007
RICHIE GREENBERG,AMY FARAH WEISS,JANE KIM,18,0.007
JANE KIM,RICHIE GREENBERG,,17,0.007
LONDON BREED,,RICHIE GREENBERG,17,0.007
ANGELA ALIOTO,ELLEN LEE ZHOU,ANGELA ALIOTO,17,0.007
AMY FARAH WEISS,ELLEN LEE ZHOU,RICHIE GREENBERG,17,0.007
ELLEN LEE ZHOU,MICHELLE BRAVO,MARK LENO,17,0.007
LONDON BREED,LONDON BREED,AMY FARAH WEISS,17,0.007
AMY FARAH WEISS,MICHELLE BRAVO,MARK LENO,17,0.007
JANE KIM,RICHIE GREENBERG,MICHELLE BRAVO,17,0.007
RICHIE GREENBERG,MICHELLE BRAVO,LONDON BREED,17,0.007
,ANGELA ALIOTO,MARK LENO,17,0.007
MICHELLE BRAVO,JANE KIM,LONDON BREED,16,0.006
LONDON BREED,,AMY FARAH WEISS,16,0.006
,LONDON BREED,JANE KIM,16,0.006
LONDON BREED,RICHIE GREENBERG,RICHIE GREENBERG,16,0.006
RICHIE GREENBERG,RICHIE GREENBERG,,16,0.006
,,ELLEN LEE ZHOU,16,0.006
ANGELA ALIOTO,,LONDON BREED,16,0.006
,MARK LENO,AMY FARAH WEISS,16,0.006
JANE KIM,ELLEN LEE ZHOU,ELLEN LEE ZHOU,15,0.006
ELLEN LEE ZHOU,ANGELA ALIOTO,ELLEN LEE ZHOU,15,0.006
AMY FARAH WEISS,ANGELA ALIOTO,RICHIE GREENBERG,15,0.006
MICHELLE BRAVO,AMY FARAH WEISS,RICHIE GREENBERG,15,0.006
RICHIE GREENBERG,JANE KIM,MICHELLE BRAVO,14,0.006
AMY FARAH WEISS,RICHIE GREENBERG,ANGELA ALIOTO,14,0.006
JANE KIM,ELLEN LEE ZHOU,JANE KIM,14,0.006
MICHELLE BRAVO,RICHIE GREENBERG,MARK LENO,14,0.006
MARK LENO,MICHELLE BRAVO,,14,0.006
MICHELLE BRAVO,RICHIE GREENBERG,ELLEN LEE ZHOU,14,0.006
MICHELLE BRAVO,AMY FARAH WEISS,ELLEN LEE ZHOU,14,0.006
LONDON BREED,LONDON BREED,RICHIE GREENBERG,14,0.006
ELLEN LEE ZHOU,ELLEN LEE ZHOU,RICHIE GREENBERG,14,0.006
LONDON BREED,,MICHELLE BRAVO,14,0.006
AMY FARAH WEISS,LONDON BREED,ELLEN LEE ZHOU,14,0.006
,MARK LENO,ANGELA ALIOTO,13,0.005
LONDON BREED,MICHELLE BRAVO,MICHELLE BRAVO,13,0.005
,ANGELA ALIOTO,LONDON BREED,13,0.005
ELLEN LEE ZHOU,MICHELLE BRAVO,,13,0.005
ANGELA ALIOTO,,MARK LENO,13,0.005
AMY FARAH WEISS,MICHELLE BRAVO,JANE KIM,13,0.005
ANGELA ALIOTO,ELLEN LEE ZHOU,ELLEN LEE ZHOU,13,0.005
ELLEN LEE ZHOU,ELLEN LEE ZHOU,MARK LENO,13,0.005
RICHIE GREENBERG,RICHIE GREENBERG,MARK LENO,13,0.005
ANGELA ALIOTO,MICHELLE BRAVO,MICHELLE BRAVO,13,0.005
AMY FARAH WEISS,ELLEN LEE ZHOU,LONDON BREED,12,0.005
ELLEN LEE ZHOU,JANE KIM,JANE KIM,12,0.005
MARK LENO,MARK LENO,ELLEN LEE ZHOU,12,0.005
ELLEN LEE ZHOU,ELLEN LEE ZHOU,JANE KIM,12,0.005
ELLEN LEE ZHOU,AMY FARAH WEISS,,12,0.005
MICHELLE BRAVO,RICHIE GREENBERG,LONDON BREED,12,0.005
LONDON BREED,MICHELLE BRAVO,LONDON BREED,12,0.005
LONDON BREED,RICHIE GREENBERG,LONDON BREED,12,0.005
RICHIE GREENBERG,RICHIE GREENBERG,ELLEN LEE ZHOU,12,0.005
ANGELA ALIOTO,MICHELLE BRAVO,ANGELA ALIOTO,11,0.004
MICHELLE BRAVO,ELLEN LEE ZHOU,MARK LENO,11,0.004
,,RICHIE GREENBERG,11,0.004
AMY FARAH WEISS,LONDON BREED,,11,0.004
RICHIE GREENBERG,ELLEN LEE ZHOU,RICHIE GREENBERG,11,0.004
ANGELA ALIOTO,RICHIE GREENBERG,RICHIE GREENBERG,11,0.004
MICHELLE BRAVO,ELLEN LEE ZHOU,RICHIE GREENBERG,11,0.004
RICHIE GREENBERG,MARK LENO,RICHIE GREENBERG,11,0.004
MARK LENO,RICHIE GREENBERG,RICHIE GREENBERG,11,0.004
JANE KIM,,ANGELA ALIOTO,11,0.004
LONDON BREED,AMY FARAH WEISS,AMY FARAH WEISS,11,0.004
ELLEN LEE ZHOU,ELLEN LEE ZHOU,ANGELA ALIOTO,11,0.004
MARK LENO,,MARK LENO,11,0.004
,MARK LENO,MARK LENO,11,0.004
MARK LENO,MARK LENO,AMY FARAH WEISS,10,0.004
MICHELLE BRAVO,MARK LENO,ELLEN LEE ZHOU,10,0.004
MARK LENO,ELLEN LEE ZHOU,MARK LENO,10,0.004
AMY FARAH WEISS,ELLEN LEE ZHOU,JANE KIM,10,0.004
JANE KIM,,JANE KIM,10,0.004
MICHELLE BRAVO,JANE KIM,ELLEN LEE ZHOU,10,0.004
ANGELA ALIOTO,ANGELA ALIOTO,MICHELLE BRAVO,10,0.004
MARK LENO,AMY FARAH WEISS,AMY FARAH WEISS,10,0.004
ELLEN LEE ZHOU,RICHIE GREENBERG,RICHIE GREENBERG,10,0.004
,LONDON BREED,RICHIE GREENBERG,10,0.004
AMY FARAH WEISS,RICHIE GREENBERG,MICHELLE BRAVO,10,0.004
ANGELA ALIOTO,,ANGELA ALIOTO,10,0.004
AMY FARAH WEISS,RICHIE GREENBERG,LONDON BREED,10,0.004
,ANGELA ALIOTO,RICHIE GREENBERG,10,0.004
AMY FARAH WEISS,JANE KIM,MICHELLE BRAVO,10,0.004
RICHIE GREENBERG,ELLEN LEE ZHOU,ELLEN LEE ZHOU,10,0.004
AMY FARAH WEISS,ELLEN LEE ZHOU,MARK LENO,10,0.004
,JANE KIM,JANE KIM,10,0.004
ANGELA ALIOTO,,JANE KIM,9,0.004
ELLEN LEE ZHOU,RICHIE GREENBERG,ELLEN LEE ZHOU,9,0.004
MICHELLE BRAVO,ANGELA ALIOTO,MICHELLE BRAVO,9,0.004
,ANGELA ALIOTO,JANE KIM,9,0.004
ANGELA ALIOTO,,RICHIE GREENBERG,9,0.004
ANGELA ALIOTO,AMY FARAH WEISS,ANGELA ALIOTO,9,0.004
MICHELLE BRAVO,ELLEN LEE ZHOU,JANE KIM,9,0.004
ELLEN LEE ZHOU,ANGELA ALIOTO,ANGELA ALIOTO,9,0.004
MICHELLE BRAVO,ANGELA ALIOTO,,9,0.004
MICHELLE BRAVO,ELLEN LEE ZHOU,LONDON BREED,9,0.004
AMY FARAH WEISS,MICHELLE BRAVO,ANGELA ALIOTO,9,0.004
RICHIE GREENBERG,,ANGELA ALIOTO,8,0.003
RICHIE GREENBERG,AMY FARAH WEISS,RICHIE GREENBERG,8,0.003
MICHELLE BRAVO,MARK LENO,AMY FARAH WEISS,8,0.003
,RICHIE GREENBERG,,8,0.003
,ELLEN LEE ZHOU,LONDON BREED,8,0.003
JANE KIM,JANE KIM,AMY FARAH WEISS,8,0.003
MICHELLE BRAVO,LONDON BREED,LONDON BREED,8,0.003
,RICHIE GREENBERG,ANGELA ALIOTO,8,0.003
MICHELLE BRAVO,LONDON BREED,AMY FARAH WEISS,8,0.003
JANE KIM,MICHELLE BRAVO,,8,0.003
MARK LENO,RICHIE GREENBERG,MARK LENO,8,0.003
AMY FARAH WEISS,LONDON BREED,MICHELLE BRAVO,8,0.003
RICHIE GREENBERG,,LONDON BREED,8,0.003
MICHELLE BRAVO,AMY FARAH WEISS,ANGELA ALIOTO,8,0.003
,JANE KIM,AMY FARAH WEISS,8,0.003
MARK LENO,MARK LENO,RICHIE GREENBERG,8,0.003
AMY FARAH WEISS,MICHELLE BRAVO,RICHIE GREENBERG,8,0.003
AMY FARAH WEISS,MICHELLE BRAVO,LONDON BREED,8,0.003
JANE KIM,,ELLEN LEE ZHOU,8,0.003
MICHELLE BRAVO,ELLEN LEE ZHOU,,8,0.003
AMY FARAH WEISS,ANGELA ALIOTO,,8,0.003
MARK LENO,MICHELLE BRAVO,MARK LENO,7,0.003
MICHELLE BRAVO,ANGELA ALIOTO,ANGELA ALIOTO,7,0.003
MICHELLE BRAVO,JANE KIM,AMY FARAH WEISS,7,0.003
MICHELLE BRAVO,RICHIE GREENBERG,AMY FARAH WEISS,7,0.003
AMY FARAH WEISS,MARK LENO,ELLEN LEE ZHOU,7,0.003
RICHIE GREENBERG,LONDON BREED,LONDON BREED,7,0.003
MICHELLE BRAVO,LONDON BREED,RICHIE GREENBERG,7,0.003
AMY FARAH WEISS,LONDON BREED,RICHIE GREENBERG,7,0.003
MICHELLE BRAVO,AMY FARAH WEISS,JANE KIM,7,0.003
RICHIE GREENBERG,MARK LENO,MARK LENO,7,0.003
MICHELLE BRAVO,LONDON BREED,ELLEN LEE ZHOU,7,0.003
MICHELLE BRAVO,MARK LENO,MARK LENO,7,0.003
ELLEN LEE ZHOU,,ANGELA ALIOTO,7,0.003
ELLEN LEE ZHOU,,LONDON BREED,7,0.003
ANGELA ALIOTO,ANGELA ALIOTO,ELLEN LEE ZHOU,7,0.003
,ELLEN LEE ZHOU,ELLEN LEE ZHOU,6,0.002
RICHIE GREENBERG,RICHIE GREENBERG,JANE KIM,6,0.002
MICHELLE BRAVO,MARK LENO,,6,0.002
MARK LENO,,AMY FARAH WEISS,6,0.002
RICHIE GREENBERG,LONDON BREED,RICHIE GREENBERG,6,0.002
JANE KIM,MICHELLE BRAVO,JANE KIM,6,0.002
,ANGELA ALIOTO,ANGELA ALIOTO,6,0.002
ELLEN LEE ZHOU,MARK LENO,ELLEN LEE ZHOU,6,0.002
MICHELLE BRAVO,AMY FARAH WEISS,MARK LENO,6,0.002
ANGELA ALIOTO,,MICHELLE BRAVO,6,0.002
ELLEN LEE ZHOU,,MARK LENO,6,0.002
JANE KIM,,AMY FARAH WEISS,6,0.002
ELLEN LEE ZHOU,ELLEN LEE ZHOU,MICHELLE BRAVO,6,0.002
JANE KIM,JANE KIM,MICHELLE BRAVO,6,0.002
MICHELLE BRAVO,JANE KIM,,6,0.002
AMY FARAH WEISS,RICHIE GREENBERG,JANE KIM,6,0.002
LONDON BREED,AMY FARAH WEISS,LONDON BREED,6,0.002
MICHELLE BRAVO,JANE KIM,RICHIE GREENBERG,5,0.002
ELLEN LEE ZHOU,,ELLEN LEE ZHOU,5,0.002
,ANGELA ALIOTO,AMY FARAH WEISS,5,0.002
JANE KIM,MICHELLE BRAVO,MICHELLE BRAVO,5,0.002
,ANGELA ALIOTO,ELLEN LEE ZHOU,5,0.002
AMY FARAH WEISS,MARK LENO,MICHELLE BRAVO,5,0.002
MARK LENO,MICHELLE BRAVO,MICHELLE BRAVO,5,0.002
,ANGELA ALIOTO,MICHELLE BRAVO,5,0.002
,JANE KIM,ELLEN LEE ZHOU,5,0.002
JANE KIM,AMY FARAH WEISS,JANE KIM,5,0.002
,RICHIE GREENBERG,ELLEN LEE ZHOU,5,0.002
,ELLEN LEE ZHOU,MICHELLE BRAVO,5,0.002
,RICHIE GREENBERG,JANE KIM,5,0.002
,,AMY FARAH WEISS,5,0.002
ANGELA ALIOTO,,ELLEN LEE ZHOU,5,0.002
,MICHELLE BRAVO,,5,0.002
,AMY FARAH WEISS,ANGELA ALIOTO,4,0.002
MARK LENO,,MICHELLE BRAVO,4,0.002
,ELLEN LEE ZHOU,JANE KIM,4,0.002
MICHELLE BRAVO,ELLEN LEE ZHOU,ELLEN LEE ZHOU,4,0.002
,AMY FARAH WEISS,RICHIE GREENBERG,4,0.002
MARK LENO,,RICHIE GREENBERG,4,0.002
ELLEN LEE ZHOU,,JANE KIM,4,0.002
ANGELA ALIOTO,AMY FARAH WEISS,AMY FARAH WEISS,4,0.002
MICHELLE BRAVO,RICHIE GREENBERG,JANE KIM,4,0.002
RICHIE GREENBERG,MICHELLE BRAVO,RICHIE GREENBERG,4,0.002
,AMY FARAH WEISS,,4,0.002
JANE KIM,RICHIE GREENBERG,JANE KIM,4,0.002
ELLEN LEE ZHOU,,RICHIE GREENBERG,4,0.002
RICHIE GREENBERG,,MARK LENO,4,0.002
ELLEN LEE ZHOU,MARK LENO,MARK LENO,4,0.002
MARK LENO,MARK LENO,MICHELLE BRAVO,4,0.002
MICHELLE BRAVO,RICHIE GREENBERG,,4,0.002
ANGELA ALIOTO,ANGELA ALIOTO,AMY FARAH WEISS,4,0.002
RICHIE GREENBERG,RICHIE GREENBERG,MICHELLE BRAVO,4,0.002
MICHELLE BRAVO,ELLEN LEE ZHOU,MICHELLE BRAVO,4,0.002
MICHELLE BRAVO,AMY FARAH WEISS,LONDON BREED,4,0.002
,ELLEN LEE ZHOU,RICHIE GREENBERG,4,0.002
,JANE KIM,RICHIE GREENBERG,4,0.002
LONDON BREED,MARK LENO,WRITE-IN ANTOINE R. ROGERS,4,0.002
,RICHIE GREENBERG,LONDON BREED,4,0.002
RICHIE GREENBERG,JANE KIM,RICHIE GREENBERG,4,0.002
,LONDON BREED,ELLEN LEE ZHOU,4,0.002
ANGELA ALIOTO,,AMY FARAH WEISS,4,0.002
RICHIE GREENBERG,RICHIE GREENBERG,AMY FARAH WEISS,3,0.001
,RICHIE GREENBERG,MARK LENO,3,0.001
,ELLEN LEE ZHOU,ANGELA ALIOTO,3,0.001
AMY FARAH WEISS,RICHIE GREENBERG,,3,0.001
AMY FARAH WEISS,MICHELLE BRAVO,,3,0.001
AMY FARAH WEISS,AMY FARAH WEISS,,3,0.001
MARK LENO,,ELLEN LEE ZHOU,3,0.001
,LONDON BREED,AMY FARAH WEISS,3,0.001
MICHELLE BRAVO,,ANGELA ALIOTO,3,0.001
MICHELLE BRAVO,JANE KIM,MICHELLE BRAVO,3,0.001
,,MICHELLE BRAVO,3,0.001
MARK LENO,JANE KIM,WRITE-IN ANTOINE R. ROGERS,3,0.001
AMY FARAH WEISS,JANE KIM,RICHIE GREENBERG,3,0.001
,MARK LENO,RICHIE GREENBERG,3,0.001
ELLEN LEE ZHOU,AMY FARAH WEISS,ELLEN LEE ZHOU,3,0.001
AMY FARAH WEISS,,MICHELLE BRAVO,3,0.001
AMY FARAH WEISS,MICHELLE BRAVO,AMY FARAH WEISS,3,0.001
JANE KIM,JANE KIM,RICHIE GREENBERG,3,0.001
MARK LENO,AMY FARAH WEISS,MARK LENO,3,0.001
RICHIE GREENBERG,,AMY FARAH WEISS,3,0.001
RICHIE GREENBERG,JANE KIM,JANE KIM,3,0.001
MICHELLE BRAVO,LONDON BREED,,3,0.001
MICHELLE BRAVO,AMY FARAH WEISS,,2,0.001
,ELLEN LEE ZHOU,AMY FARAH WEISS,2,0.001
,RICHIE GREENBERG,RICHIE GREENBERG,2,0.001
MICHELLE BRAVO,,MICHELLE BRAVO,2,0.001
AMY FARAH WEISS,LONDON BREED,AMY FARAH WEISS,2,0.001
LONDON BREED,WRITE-IN ANTOINE R. ROGERS,ANGELA ALIOTO,2,0.001
JANE KIM,,MICHELLE BRAVO,2,0.001
JANE KIM,,RICHIE GREENBERG,2,0.001
MICHELLE BRAVO,RICHIE GREENBERG,RICHIE GREENBERG,2,0.001
LONDON BREED,WRITE-IN ANTOINE R. ROGERS,,2,0.001
MICHELLE BRAVO,,LONDON BREED,2,0.001
WRITE-IN ANTOINE R. ROGERS,LONDON BREED,ANGELA ALIOTO,2,0.001
,JANE KIM,MICHELLE BRAVO,2,0.001
ELLEN LEE ZHOU,ELLEN LEE ZHOU,AMY FARAH WEISS,2,0.001
MICHELLE BRAVO,,ELLEN LEE ZHOU,2,0.001
MICHELLE BRAVO,AMY FARAH WEISS,MICHELLE BRAVO,2,0.001
,MICHELLE BRAVO,MARK LENO,2,0.001
RICHIE GREENBERG,,RICHIE GREENBERG,2,0.001
ELLEN LEE ZHOU,,AMY FARAH WEISS,2,0.001
,MICHELLE BRAVO,AMY FARAH WEISS,2,0.001
AMY FARAH WEISS,ANGELA ALIOTO,AMY FARAH WEISS,2,0.001
AMY FARAH WEISS,RICHIE GREENBERG,AMY FARAH WEISS,2,0.001
AMY FARAH WEISS,ELLEN LEE ZHOU,AMY FARAH WEISS,2,0.001
AMY FARAH WEISS,JANE KIM,AMY FARAH WEISS,2,0.001
AMY FARAH WEISS,ANGELA ALIOTO,ANGELA ALIOTO,2,0.001
JANE KIM,AMY FARAH WEISS,AMY FARAH WEISS,2,0.001
MICHELLE BRAVO,JANE KIM,JANE KIM,2,0.001
ELLEN LEE ZHOU,MICHELLE BRAVO,ELLEN LEE ZHOU,2,0.001
AMY FARAH WEISS,MICHELLE BRAVO,MICHELLE BRAVO,2,0.001
MICHELLE BRAVO,MARK LENO,MICHELLE BRAVO,2,0.001
MICHELLE BRAVO,MICHELLE BRAVO,ELLEN LEE ZHOU,2,0.001
MICHELLE BRAVO,MICHELLE BRAVO,JANE KIM,2,0.001
RICHIE GREENBERG,,MICHELLE BRAVO,2,0.001
,MICHELLE BRAVO,ANGELA ALIOTO,1,0
MICHELLE BRAVO,AMY FARAH WEISS,AMY FARAH WEISS,1,0
AMY FARAH WEISS,,JANE KIM,1,0
AMY FARAH WEISS,AMY FARAH WEISS,ANGELA ALIOTO,1,0
AMY FARAH WEISS,AMY FARAH WEISS,LONDON BREED,1,0
,AMY FARAH WEISS,MICHELLE BRAVO,1,0
JANE KIM,RICHIE GREENBERG,RICHIE GREENBERG,1,0
AMY FARAH WEISS,LONDON BREED,LONDON BREED,1,0
ELLEN LEE ZHOU,AMY FARAH WEISS,AMY FARAH WEISS,1,0
RICHIE GREENBERG,,ELLEN LEE ZHOU,1,0
,AMY FARAH WEISS,JANE KIM,1,0
JANE KIM,MARK LENO,WRITE-IN ANTOINE R. ROGERS,1,0
,AMY FARAH WEISS,ELLEN LEE ZHOU,1,0
MICHELLE BRAVO,MICHELLE BRAVO,LONDON BREED,1,0
AMY FARAH WEISS,,LONDON BREED,1,0
LONDON BREED,WRITE-IN ANTOINE R. ROGERS,ELLEN LEE ZHOU,1,0
,ELLEN LEE ZHOU,MARK LENO,1,0
AMY FARAH WEISS,,AMY FARAH WEISS,1,0
AMY FARAH WEISS,JANE KIM,JANE KIM,1,0
AMY FARAH WEISS,MARK LENO,MARK LENO,1,0
MICHELLE BRAVO,MICHELLE BRAVO,ANGELA ALIOTO,1,0
RICHIE GREENBERG,WRITE-IN ANTOINE R. ROGERS,,1,0
RICHIE GREENBERG,MICHELLE BRAVO,MICHELLE BRAVO,1,0
,AMY FARAH WEISS,AMY FARAH WEISS,1,0
AMY FARAH WEISS,AMY FARAH WEISS,MARK LENO,1,0
MICHELLE BRAVO,RICHIE GREENBERG,MICHELLE BRAVO,1,0
,AMY FARAH WEISS,MARK LENO,1,0
AMY FARAH WEISS,AMY FARAH WEISS,ELLEN LEE ZHOU,1,0
MICHELLE BRAVO,LONDON BREED,MICHELLE BRAVO,1,0
AMY FARAH WEISS,AMY FARAH WEISS,JANE KIM,1,0
MICHELLE BRAVO,MICHELLE BRAVO,,1,0
AMY FARAH WEISS,ELLEN LEE ZHOU,,1,0
AMY FARAH WEISS,ELLEN LEE ZHOU,ELLEN LEE ZHOU,1,0
MICHELLE BRAVO,MICHELLE BRAVO,RICHIE GREENBERG,1,0
AMY FARAH WEISS,RICHIE GREENBERG,RICHIE GREENBERG,1,0
RICHIE GREENBERG,,JANE KIM,1,0
RICHIE GREENBERG,AMY FARAH WEISS,AMY FARAH WEISS,1,0
ELLEN LEE ZHOU,MICHELLE BRAVO,MICHELLE BRAVO,1,0
,MICHELLE BRAVO,MICHELLE BRAVO,1,0
AMY FARAH WEISS,AMY FARAH WEISS,RICHIE GREENBERG,1,0
WRITE-IN ANTOINE R. ROGERS,LONDON BREED,MICHELLE BRAVO,1,0
